Date/time,Loop number,Mag field x,Mag field y,Mag field z,Pressure,Acceler x,Acceler y,Acceler z,Latitude,Longitude
2021-05-04 13:53:35.426135,1,0.269,0.003,2.851,987.752,-0.002,0.029,0.014,-39.547638822736324,-11.790715653798415
2021-05-04 13:53:46.675074,2,0.642,-0.116,5.139,987.767,-0.001,0.029,0.012,-40.0038442328744,-11.028101127304396
2021-05-04 13:53:52.398854,2,1.048,-0.167,6.431,987.783,-0.005,0.03,0.015,-40.22979372080759,-10.642730755274876
2021-05-04 13:53:58.054602,2,1.199,-0.337,6.826,987.808,-0.002,0.028,0.017,-40.41697163991721,-10.319498029219545
2021-05-04 13:54:03.985639,2,1.038,-0.386,7.233,987.749,-0.003,0.028,0.015,-40.640223203128244,-9.929088685129848
2021-05-04 13:54:09.833959,2,1.089,-0.509,7.579,987.748,-0.002,0.03,0.013,-40.86197553981646,-9.535901161595248
2021-05-04 13:54:15.449032,2,1.165,-0.59,7.853,987.782,-0.003,0.029,0.013,-41.082201329225185,-9.139912406727296
2021-05-04 13:54:21.172655,2,0.975,-0.513,8.019,987.774,-0.0,0.029,0.012,-41.26454005930784,-8.807767137578747
2021-05-04 13:54:26.809790,2,0.885,-0.5,8.129,987.799,-0.002,0.029,0.014,-41.481914244738086,-8.406590000262524
2021-05-04 13:54:32.526071,2,1.172,-0.894,7.789,987.753,-0.002,0.029,0.013,-41.6977004111863,-8.002553575005004
2021-05-04 13:54:38.177459,2,0.99,-0.929,7.506,987.782,-0.001,0.028,0.012,-41.8762927825092,-7.6636583714091895
2021-05-04 13:54:43.834269,2,1.008,-0.961,7.501,987.769,-0.001,0.029,0.01,-42.08910781666847,-7.254329403318557
2021-05-04 13:54:49.527002,2,0.982,-0.976,7.688,987.804,-0.001,0.028,0.016,-42.300269945048576,-6.842087359546913
2021-05-04 13:54:55.281362,2,1.046,-0.91,7.876,987.791,-0.003,0.029,0.016,-42.474958863260824,-6.496313301683249
