Date/time,Loop number,Mag field x,Mag field y,Mag field z,Latitude,Longitude
2020-04-29 22:52:19.270135,1,4.34,-3.17,1.8,-51.460253716425605,-58.02825582986366
2020-04-29 22:52:30.222046,1,6.98,-5.12,3.18,-51.39467365510973,-56.94206109144029
2020-04-29 22:52:41.178707,1,8.53,-6.62,3.98,-51.318206272256845,-55.859377070250304
2020-04-29 22:52:52.129067,1,9.77,-7.27,4.35,-51.23091986975867,-54.78071944557604
2020-04-29 22:53:03.087324,1,10.58,-7.83,4.51,-51.13288616460148,-53.70658682122691
2020-04-29 22:54:14.061055,1,10.96,-7.49,4.96,-50.24792245950502,-46.91350265388025
2020-04-29 22:54:25.032431,1,11.37,-7.41,5.08,-50.072902277118025,-45.887099391451166
2020-04-29 22:54:35.982918,1,11.52,-7.72,5.17,-49.88806711289373,-44.8687113560131
2020-04-29 22:54:46.927161,1,11.57,-7.73,5.61,-49.711629666253955,-43.95012945982184
2020-04-29 22:54:57.874594,1,11.74,-7.71,5.75,-49.508441783729836,-42.94790848214919
2020-04-29 22:56:08.854261,1,11.86,-7.46,6.06,-47.9774958624065,-36.702301542819484
2020-04-29 22:56:19.804099,1,11.62,-7.2,6.07,-47.70796635247404,-35.77125113629837
2020-04-29 22:56:30.745771,1,11.81,-6.82,6.14,-47.43021670987547,-34.85040844749184
2020-04-29 22:56:41.701442,1,11.98,-6.73,5.41,-47.144414274245456,-33.93986568395368
2020-04-29 22:56:52.638524,1,12.12,-6.83,5.21,-46.850726385218664,-33.0396911475756
2020-04-29 22:58:03.631027,1,12.02,-6.48,5.12,-44.77652087769085,-27.48120294629648
2020-04-29 22:58:14.566747,1,11.87,-6.21,5.51,-44.42921600367946,-26.658991604199514
2020-04-29 22:58:25.519914,1,11.75,-5.44,5.95,-44.07539854429446,-25.847131413789704
2020-04-29 22:58:36.459312,1,11.91,-5.09,6.11,-43.715229008981346,-25.045559195817226
2020-04-29 22:58:47.405551,1,11.82,-4.98,6.14,-43.34885766190186,-24.254199818201208
2020-04-29 22:59:58.390277,1,11.88,-4.62,6.0,-40.845081066904434,-19.38561365705944
2020-04-29 23:00:09.736654,1,11.91,-4.67,5.76,-40.43714460363084,-18.667217775252084
2020-04-29 23:00:20.869123,1,11.97,-4.54,5.96,-40.02421868716855,-17.958097290337605
2020-04-29 23:00:31.870644,1,11.87,-4.33,6.15,-39.60643992130096,-17.25811389098531
